Epoch	Training Accuracy	Training Time	Validation Accuracy	Validation Time
1	0.3183	10.1603	0.1850	0.8198
2	0.4433	10.1849	0.2487	0.5683
3	0.4878	11.2233	0.3962	1.0260
4	0.5323	14.3102	0.4863	0.6629
5	0.5803	13.5085	0.5350	0.7331
6	0.5797	14.4349	0.4437	0.9261
7	0.6212	13.7141	0.4562	0.8598
8	0.6498	14.6916	0.4925	1.2199
9	0.6991	15.2812	0.4838	0.9418
10	0.7087	14.4879	0.5250	0.5308
11	0.7542	13.0428	0.5250	0.7358
12	0.7382	13.2280	0.5025	0.7928
13	0.7059	14.0115	0.4550	1.1126
14	0.7925	15.0497	0.4838	0.7099
15	0.7925	13.7158	0.5188	0.9077
16	0.8203	14.4413	0.4988	1.2068
17	0.7424	15.3165	0.4288	0.6754
18	0.8482	14.2557	0.5150	0.7762
19	0.8490	14.4052	0.5225	0.7584
20	0.8752	13.1310	0.5288	0.7803
21	0.8448	13.7596	0.5012	0.9131
22	0.8784	14.5020	0.3575	0.9292
23	0.9083	13.8416	0.5200	0.9093
24	0.9567	15.3372	0.5750	1.0837
25	0.9026	18.3519	0.4988	1.2051
26	0.8371	15.9487	0.3937	0.9066
27	0.8858	15.5080	0.5337	0.6910
28	0.8830	16.9745	0.5325	0.6958
29	0.9613	17.5081	0.5175	0.8465
30	0.9607	18.0971	0.5000	0.7775
31	0.8460	17.7604	0.5188	1.0016
32	0.9754	16.9558	0.4988	1.0064
33	0.9920	17.9130	0.5025	0.7571
34	0.9792	15.8569	0.4525	0.9711
35	0.9295	17.2035	0.4200	0.5800
36	0.9425	12.4183	0.4775	0.7603
37	0.9780	13.5542	0.5312	0.5256
38	0.9453	13.0548	0.5012	0.6530
39	0.9665	13.5066	0.4900	0.7547
40	0.9868	13.9591	0.4625	0.7340
0.5062
